번호,구분,영상명,자막·장면 구간 수,분석 폴더
1,기존 분석 11개,고기영상1,25,고기영상1_분석
2,기존 분석 11개,고기영상3,26,고기영상3_분석
3,기존 분석 11개,고기영상4,31,고기영상4_분석
4,기존 분석 11개,깔라만시 1 (1),18,깔라만시 1 (1)_분석
5,기존 분석 11개,깔라만시2 (1),20,깔라만시2 (1)_분석
6,기존 분석 11개,깔라만시3 (2),45,깔라만시3 (2)_분석
7,기존 분석 11개,오리지널소스영상1,22,오리지널소스영상1_분석
8,기존 분석 11개,오리지널소스영상2,43,오리지널소스영상2_분석
9,기존 분석 11개,오리지널소스영상3,22,오리지널소스영상3_분석
10,기존 분석 11개,참고영상1 (1),23,참고영상1 (1)_분석
11,기존 분석 11개,참고영상2 (1),32,참고영상2 (1)_분석
12,추가 분석 10개,고기영상5,28,고기영상5_분석
13,추가 분석 10개,고기영상6,41,고기영상6_분석
14,추가 분석 10개,고기영상7,23,고기영상7_분석
15,추가 분석 10개,고기영상8,19,고기영상8_분석
16,추가 분석 10개,고기영상9,39,고기영상9_분석
17,추가 분석 10개,깔라만시4,38,깔라만시4_분석
18,추가 분석 10개,깔라만시5,41,깔라만시5_분석
19,추가 분석 10개,깔라만시6,9,깔라만시6_분석
20,추가 분석 10개,깔라만시7,8,깔라만시7_분석
21,추가 분석 10개,깔라만시8,44,깔라만시8_분석
